Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	8
2	1.000000000000000e+00	10
3	1.000000000000000e+00	10
4	1.000000000000000e+00	12
5	1.000000000000000e+00	8
6	1.000000000000000e+00	2
7	1.000000000000000e+00	62
8	1.000000000000000e+00	6
9	1.000000000000000e+00	10
10	1.000000000000000e+00	14
11	1.000000000000000e+00	18
12	1.000000000000000e+00	20
13	1.000000000000000e+00	12
14	1.000000000000000e+00	8
15	1.000000000000000e+00	2
16	1.000000000000000e+00	28
17	1.000000000000000e+00	12
18	1.000000000000000e+00	8
19	1.000000000000000e+00	4
20	1.000000000000000e+00	4
21	1.000000000000000e+00	4
22	1.000000000000000e+00	12
23	1.000000000000000e+00	6
24	1.000000000000000e+00	6
25	1.000000000000000e+00	16
26	1.000000000000000e+00	8
27	1.000000000000000e+00	2
28	1.000000000000000e+00	12
29	1.000000000000000e+00	14
30	1.000000000000000e+00	20
31	1.000000000000000e+00	10
32	1.000000000000000e+00	2
33	1.000000000000000e+00	4
34	1.000000000000000e+00	4
35	1.000000000000000e+00	8
36	1.000000000000000e+00	6
37	1.000000000000000e+00	4
38	1.000000000000000e+00	4
39	1.000000000000000e+00	16
40	1.000000000000000e+00	12
41	1.000000000000000e+00	10
42	1.000000000000000e+00	22
43	1.000000000000000e+00	10
44	1.000000000000000e+00	6
45	1.000000000000000e+00	24
46	1.000000000000000e+00	6
47	1.000000000000000e+00	6
48	1.000000000000000e+00	16
49	1.000000000000000e+00	2
50	1.000000000000000e+00	10
51	1.000000000000000e+00	6
52	1.000000000000000e+00	32
53	1.000000000000000e+00	4
54	1.000000000000000e+00	8
55	1.000000000000000e+00	20
56	1.000000000000000e+00	2
57	1.000000000000000e+00	12
58	1.000000000000000e+00	4
59	1.000000000000000e+00	6
60	1.000000000000000e+00	4
61	1.000000000000000e+00	4
62	1.000000000000000e+00	28
63	1.000000000000000e+00	4
64	1.000000000000000e+00	4
65	1.000000000000000e+00	6
66	1.000000000000000e+00	2
67	1.000000000000000e+00	18
68	1.000000000000000e+00	16
69	1.000000000000000e+00	10
70	1.000000000000000e+00	16
71	1.000000000000000e+00	4
72	1.000000000000000e+00	30
73	1.000000000000000e+00	4
74	1.000000000000000e+00	4
75	1.000000000000000e+00	8
76	1.000000000000000e+00	6
77	1.000000000000000e+00	12
78	1.000000000000000e+00	4
79	1.000000000000000e+00	6
80	1.000000000000000e+00	8
81	1.000000000000000e+00	16
82	1.000000000000000e+00	4
83	1.000000000000000e+00	8
84	1.000000000000000e+00	36
85	1.000000000000000e+00	6
86	1.000000000000000e+00	10
87	1.000000000000000e+00	8
88	1.000000000000000e+00	16
89	1.000000000000000e+00	10
90	1.000000000000000e+00	24
91	1.000000000000000e+00	18
92	1.000000000000000e+00	6
93	1.000000000000000e+00	2
