Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	8
2	1.000000000000000e+00	2
3	1.000000000000000e+00	2
4	1.000000000000000e+00	4
5	1.000000000000000e+00	12
6	1.000000000000000e+00	4
7	1.000000000000000e+00	10
8	1.000000000000000e+00	4
9	1.000000000000000e+00	18
10	1.000000000000000e+00	6
11	1.000000000000000e+00	8
12	1.000000000000000e+00	2
13	1.000000000000000e+00	12
14	1.000000000000000e+00	12
15	1.000000000000000e+00	4
16	1.000000000000000e+00	20
17	1.000000000000000e+00	8
18	1.000000000000000e+00	6
19	1.000000000000000e+00	10
20	1.000000000000000e+00	12
21	1.000000000000000e+00	14
22	1.000000000000000e+00	10
23	1.000000000000000e+00	6
24	1.000000000000000e+00	4
25	1.000000000000000e+00	8
26	1.000000000000000e+00	12
27	1.000000000000000e+00	18
28	1.000000000000000e+00	20
29	1.000000000000000e+00	10
30	1.000000000000000e+00	14
31	1.000000000000000e+00	2
32	1.000000000000000e+00	2
33	1.000000000000000e+00	24
34	1.000000000000000e+00	18
35	1.000000000000000e+00	20
36	1.000000000000000e+00	8
37	1.000000000000000e+00	22
38	1.000000000000000e+00	24
39	1.000000000000000e+00	68
40	1.000000000000000e+00	10
41	1.000000000000000e+00	6
42	1.000000000000000e+00	6
43	1.000000000000000e+00	4
44	1.000000000000000e+00	4
45	1.000000000000000e+00	14
46	1.000000000000000e+00	6
47	1.000000000000000e+00	18
48	1.000000000000000e+00	4
49	1.000000000000000e+00	4
50	1.000000000000000e+00	2
51	1.000000000000000e+00	18
52	1.000000000000000e+00	6
53	1.000000000000000e+00	16
54	1.000000000000000e+00	6
55	1.000000000000000e+00	14
56	1.000000000000000e+00	38
57	1.000000000000000e+00	12
58	1.000000000000000e+00	14
59	1.000000000000000e+00	2
60	1.000000000000000e+00	16
61	1.000000000000000e+00	8
62	1.000000000000000e+00	8
63	1.000000000000000e+00	4
64	1.000000000000000e+00	2
65	1.000000000000000e+00	8
66	1.000000000000000e+00	24
67	1.000000000000000e+00	2
68	1.000000000000000e+00	18
69	1.000000000000000e+00	18
70	1.000000000000000e+00	2
71	1.000000000000000e+00	14
72	1.000000000000000e+00	6
73	1.000000000000000e+00	14
74	1.000000000000000e+00	16
75	1.000000000000000e+00	20
76	1.000000000000000e+00	8
77	1.000000000000000e+00	24
78	1.000000000000000e+00	14
79	1.000000000000000e+00	16
80	1.000000000000000e+00	2
81	1.000000000000000e+00	14
82	1.000000000000000e+00	22
83	1.000000000000000e+00	6
84	1.000000000000000e+00	4
85	1.000000000000000e+00	14
86	1.000000000000000e+00	10
87	1.000000000000000e+00	6
88	1.000000000000000e+00	12
89	1.000000000000000e+00	16
90	1.000000000000000e+00	14
91	1.000000000000000e+00	18
92	1.000000000000000e+00	2
93	1.000000000000000e+00	4
