Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	12
2	1.000000000000000e+00	10
3	1.000000000000000e+00	50
4	1.000000000000000e+00	26
5	1.000000000000000e+00	12
6	1.000000000000000e+00	38
7	1.000000000000000e+00	30
8	1.000000000000000e+00	16
9	1.000000000000000e+00	14
10	1.000000000000000e+00	2
11	1.000000000000000e+00	8
12	1.000000000000000e+00	6
13	1.000000000000000e+00	16
14	1.000000000000000e+00	10
15	1.000000000000000e+00	14
16	1.000000000000000e+00	2
17	1.000000000000000e+00	6
18	1.000000000000000e+00	4
19	1.000000000000000e+00	16
20	1.000000000000000e+00	22
21	1.000000000000000e+00	4
22	1.000000000000000e+00	8
23	1.000000000000000e+00	16
24	1.000000000000000e+00	8
25	1.000000000000000e+00	6
26	1.000000000000000e+00	4
27	1.000000000000000e+00	6
28	1.000000000000000e+00	8
29	1.000000000000000e+00	8
30	1.000000000000000e+00	44
31	1.000000000000000e+00	10
32	1.000000000000000e+00	20
33	1.000000000000000e+00	24
34	1.000000000000000e+00	4
35	1.000000000000000e+00	8
36	1.000000000000000e+00	6
37	1.000000000000000e+00	12
38	1.000000000000000e+00	30
39	1.000000000000000e+00	12
40	1.000000000000000e+00	20
41	1.000000000000000e+00	10
42	1.000000000000000e+00	28
43	1.000000000000000e+00	14
44	1.000000000000000e+00	4
45	1.000000000000000e+00	22
46	1.000000000000000e+00	8
47	1.000000000000000e+00	22
48	1.000000000000000e+00	8
49	1.000000000000000e+00	6
50	1.000000000000000e+00	12
51	1.000000000000000e+00	2
52	1.000000000000000e+00	8
53	1.000000000000000e+00	28
54	1.000000000000000e+00	30
55	1.000000000000000e+00	16
56	1.000000000000000e+00	58
57	1.000000000000000e+00	12
58	1.000000000000000e+00	2
59	1.000000000000000e+00	28
60	1.000000000000000e+00	22
61	1.000000000000000e+00	24
62	1.000000000000000e+00	14
63	1.000000000000000e+00	4
64	1.000000000000000e+00	12
65	1.000000000000000e+00	2
66	1.000000000000000e+00	2
67	1.000000000000000e+00	36
68	1.000000000000000e+00	10
69	1.000000000000000e+00	4
70	1.000000000000000e+00	6
71	1.000000000000000e+00	4
72	1.000000000000000e+00	10
73	1.000000000000000e+00	26
74	1.000000000000000e+00	22
75	1.000000000000000e+00	14
76	1.000000000000000e+00	6
77	1.000000000000000e+00	2
78	1.000000000000000e+00	12
79	1.000000000000000e+00	16
80	1.000000000000000e+00	4
81	1.000000000000000e+00	12
82	1.000000000000000e+00	4
83	1.000000000000000e+00	14
84	1.000000000000000e+00	16
85	1.000000000000000e+00	2
86	1.000000000000000e+00	6
87	1.000000000000000e+00	26
88	1.000000000000000e+00	16
89	1.000000000000000e+00	2
90	1.000000000000000e+00	14
91	1.000000000000000e+00	28
92	1.000000000000000e+00	6
93	1.000000000000000e+00	28
94	1.000000000000000e+00	10
95	1.000000000000000e+00	22
96	1.000000000000000e+00	2
97	1.000000000000000e+00	8
98	1.000000000000000e+00	16
99	1.000000000000000e+00	6
100	1.000000000000000e+00	14
101	1.000000000000000e+00	14
102	1.000000000000000e+00	22
103	1.000000000000000e+00	12
104	1.000000000000000e+00	2
105	1.000000000000000e+00	2
106	1.000000000000000e+00	18
107	1.000000000000000e+00	4
108	1.000000000000000e+00	4
109	1.000000000000000e+00	4
110	1.000000000000000e+00	12
111	1.000000000000000e+00	10
112	1.000000000000000e+00	8
113	1.000000000000000e+00	16
114	1.000000000000000e+00	4
115	1.000000000000000e+00	16
116	1.000000000000000e+00	6
117	1.000000000000000e+00	10
118	1.000000000000000e+00	4
119	1.000000000000000e+00	2
120	1.000000000000000e+00	8
121	1.000000000000000e+00	22
122	1.000000000000000e+00	28
123	1.000000000000000e+00	16
124	1.000000000000000e+00	4
125	1.000000000000000e+00	6
126	1.000000000000000e+00	4
127	1.000000000000000e+00	14
128	1.000000000000000e+00	10
129	1.000000000000000e+00	8
130	1.000000000000000e+00	6
131	1.000000000000000e+00	6
132	1.000000000000000e+00	10
133	1.000000000000000e+00	8
134	1.000000000000000e+00	8
135	1.000000000000000e+00	2
136	1.000000000000000e+00	6
137	1.000000000000000e+00	20
138	1.000000000000000e+00	8
139	1.000000000000000e+00	6
140	1.000000000000000e+00	2
141	1.000000000000000e+00	20
142	1.000000000000000e+00	10
143	1.000000000000000e+00	12
144	1.000000000000000e+00	8
145	1.000000000000000e+00	2
146	1.000000000000000e+00	6
147	1.000000000000000e+00	108
148	1.000000000000000e+00	8
149	1.000000000000000e+00	2
150	1.000000000000000e+00	4
151	1.000000000000000e+00	22
152	1.000000000000000e+00	4
153	1.000000000000000e+00	14
154	1.000000000000000e+00	2
155	1.000000000000000e+00	2
156	1.000000000000000e+00	4
157	1.000000000000000e+00	14
158	1.000000000000000e+00	4
159	1.000000000000000e+00	2
160	1.000000000000000e+00	4
161	1.000000000000000e+00	8
162	1.000000000000000e+00	18
163	1.000000000000000e+00	22
164	1.000000000000000e+00	6
165	1.000000000000000e+00	44
166	1.000000000000000e+00	2
167	1.000000000000000e+00	8
168	1.000000000000000e+00	20
169	1.000000000000000e+00	8
170	1.000000000000000e+00	18
171	1.000000000000000e+00	14
172	1.000000000000000e+00	12
173	1.000000000000000e+00	2
174	1.000000000000000e+00	12
175	1.000000000000000e+00	30
176	1.000000000000000e+00	6
177	1.000000000000000e+00	4
178	1.000000000000000e+00	14
179	1.000000000000000e+00	8
180	1.000000000000000e+00	26
181	1.000000000000000e+00	4
182	1.000000000000000e+00	14
183	1.000000000000000e+00	6
184	1.000000000000000e+00	4
185	1.000000000000000e+00	22
186	1.000000000000000e+00	8
187	1.000000000000000e+00	12
188	1.000000000000000e+00	10
189	1.000000000000000e+00	2
190	1.000000000000000e+00	2
191	1.000000000000000e+00	2
192	1.000000000000000e+00	2
193	1.000000000000000e+00	4
194	1.000000000000000e+00	4
195	1.000000000000000e+00	12
196	1.000000000000000e+00	10
197	1.000000000000000e+00	2
198	1.000000000000000e+00	4
199	1.000000000000000e+00	18
200	1.000000000000000e+00	10
201	1.000000000000000e+00	32
202	1.000000000000000e+00	6
203	1.000000000000000e+00	2
204	1.000000000000000e+00	2
205	1.000000000000000e+00	22
206	1.000000000000000e+00	8
207	1.000000000000000e+00	16
208	1.000000000000000e+00	18
209	1.000000000000000e+00	12
210	1.000000000000000e+00	30
211	1.000000000000000e+00	10
212	1.000000000000000e+00	2
213	1.000000000000000e+00	4
214	1.000000000000000e+00	6
215	1.000000000000000e+00	12
216	1.000000000000000e+00	4
217	1.000000000000000e+00	6
218	1.000000000000000e+00	10
219	1.000000000000000e+00	14
220	1.000000000000000e+00	4
221	1.000000000000000e+00	8
222	1.000000000000000e+00	60
223	1.000000000000000e+00	24
224	1.000000000000000e+00	6
225	1.000000000000000e+00	12
226	1.000000000000000e+00	12
227	1.000000000000000e+00	10
228	1.000000000000000e+00	6
229	1.000000000000000e+00	24
230	1.000000000000000e+00	12
231	1.000000000000000e+00	26
232	1.000000000000000e+00	2
233	1.000000000000000e+00	10
234	1.000000000000000e+00	28
235	1.000000000000000e+00	28
236	1.000000000000000e+00	46
237	1.000000000000000e+00	8
238	1.000000000000000e+00	32
239	1.000000000000000e+00	12
240	1.000000000000000e+00	6
241	1.000000000000000e+00	2
242	1.000000000000000e+00	12
243	1.000000000000000e+00	10
244	1.000000000000000e+00	6
245	1.000000000000000e+00	2
246	1.000000000000000e+00	6
247	1.000000000000000e+00	20
248	1.000000000000000e+00	20
249	1.000000000000000e+00	2
250	1.000000000000000e+00	4
251	1.000000000000000e+00	18
252	1.000000000000000e+00	18
253	1.000000000000000e+00	32
254	1.000000000000000e+00	14
255	1.000000000000000e+00	6
256	1.000000000000000e+00	16
257	1.000000000000000e+00	4
258	1.000000000000000e+00	32
259	1.000000000000000e+00	18
260	1.000000000000000e+00	8
261	1.000000000000000e+00	10
262	1.000000000000000e+00	2
263	1.000000000000000e+00	8
264	1.000000000000000e+00	6
265	1.000000000000000e+00	16
266	1.000000000000000e+00	2
267	1.000000000000000e+00	10
268	1.000000000000000e+00	4
269	1.000000000000000e+00	8
270	1.000000000000000e+00	2
271	1.000000000000000e+00	12
272	1.000000000000000e+00	20
273	1.000000000000000e+00	2
274	1.000000000000000e+00	2
275	1.000000000000000e+00	14
276	1.000000000000000e+00	22
277	1.000000000000000e+00	2
278	1.000000000000000e+00	14
279	1.000000000000000e+00	2
280	1.000000000000000e+00	16
281	1.000000000000000e+00	8
282	1.000000000000000e+00	6
283	1.000000000000000e+00	24
284	1.000000000000000e+00	8
285	1.000000000000000e+00	88
286	1.000000000000000e+00	12
287	1.000000000000000e+00	2
288	1.000000000000000e+00	16
289	1.000000000000000e+00	8
290	1.000000000000000e+00	6
291	1.000000000000000e+00	2
292	1.000000000000000e+00	12
293	1.000000000000000e+00	8
294	1.000000000000000e+00	40
295	1.000000000000000e+00	4
296	1.000000000000000e+00	6
297	1.000000000000000e+00	4
298	1.000000000000000e+00	2
299	1.000000000000000e+00	20
300	1.000000000000000e+00	2
301	1.000000000000000e+00	38
302	1.000000000000000e+00	10
303	1.000000000000000e+00	26
304	1.000000000000000e+00	22
305	1.000000000000000e+00	12
306	1.000000000000000e+00	2
307	1.000000000000000e+00	68
308	1.000000000000000e+00	30
309	1.000000000000000e+00	20
310	1.000000000000000e+00	4
311	1.000000000000000e+00	22
312	1.000000000000000e+00	10
313	1.000000000000000e+00	6
314	1.000000000000000e+00	20
315	1.000000000000000e+00	16
316	1.000000000000000e+00	10
317	1.000000000000000e+00	8
318	1.000000000000000e+00	24
319	1.000000000000000e+00	4
320	1.000000000000000e+00	6
321	1.000000000000000e+00	32
322	1.000000000000000e+00	22
323	1.000000000000000e+00	14
324	1.000000000000000e+00	12
325	1.000000000000000e+00	10
326	1.000000000000000e+00	4
327	1.000000000000000e+00	12
328	1.000000000000000e+00	8
329	1.000000000000000e+00	18
330	1.000000000000000e+00	6
331	1.000000000000000e+00	10
332	1.000000000000000e+00	38
333	1.000000000000000e+00	24
334	1.000000000000000e+00	30
335	1.000000000000000e+00	18
336	1.000000000000000e+00	2
337	1.000000000000000e+00	18
338	1.000000000000000e+00	2
339	1.000000000000000e+00	14
340	1.000000000000000e+00	14
341	1.000000000000000e+00	4
342	1.000000000000000e+00	6
343	1.000000000000000e+00	8
344	1.000000000000000e+00	10
345	1.000000000000000e+00	18
346	1.000000000000000e+00	24
347	1.000000000000000e+00	22
348	1.000000000000000e+00	8
349	1.000000000000000e+00	10
350	1.000000000000000e+00	4
351	1.000000000000000e+00	2
352	9.499976573197928e-01	246
353	8.999996156547541e-01	288
354	8.499916518498385e-01	318
355	8.000051296112556e-01	338
356	7.499913758836415e-01	246
357	6.999783075091173e-01	254
358	6.499815756990621e-01	206
359	5.999742804166297e-01	286
360	5.499790549100823e-01	296
361	4.999797200313994e-01	302
362	4.999725374451973e-01	352
363	5.249767578969752e-01	322
364	5.499746246874387e-01	156
365	5.749748530082150e-01	318
366	5.999708386717937e-01	276
367	6.249774967838823e-01	290
368	6.499690689049062e-01	250
369	6.749565547209984e-01	254
370	6.999493533454679e-01	188
371	7.249547737128179e-01	194
372	7.499531297211139e-01	258
373	7.999650097978275e-01	266
374	8.499646384241833e-01	274
375	8.999699832768155e-01	308
376	9.499696256749700e-01	296
377	9.999683229497888e-01	290
378	9.999735479234231e-01	164
379	9.999645465583644e-01	324
380	9.999765932661343e-01	264
381	9.999941827426765e-01	308
382	1.000000000000000e+00	6
383	1.000000000000000e+00	12
384	1.000000000000000e+00	8
385	1.000000000000000e+00	18
386	1.000000000000000e+00	8
387	1.000000000000000e+00	30
388	1.000000000000000e+00	28
389	1.000000000000000e+00	8
390	1.000000000000000e+00	2
391	1.000000000000000e+00	14
392	1.000000000000000e+00	4
393	1.000000000000000e+00	16
394	1.000000000000000e+00	22
395	1.000000000000000e+00	14
396	1.000000000000000e+00	6
397	1.000000000000000e+00	14
398	1.000000000000000e+00	4
399	1.000000000000000e+00	2
400	1.000000000000000e+00	26
401	1.000000000000000e+00	16
402	1.000000000000000e+00	10
403	1.000000000000000e+00	4
404	1.000000000000000e+00	6
405	1.000000000000000e+00	6
406	1.000000000000000e+00	6
407	1.000000000000000e+00	16
408	1.000000000000000e+00	2
409	1.000000000000000e+00	2
410	1.000000000000000e+00	16
411	1.000000000000000e+00	18
412	1.000000000000000e+00	2
413	1.000000000000000e+00	12
414	1.000000000000000e+00	10
415	1.000000000000000e+00	22
416	1.000000000000000e+00	16
417	1.000000000000000e+00	16
418	1.000000000000000e+00	8
419	1.000000000000000e+00	14
420	1.000000000000000e+00	12
421	1.000000000000000e+00	10
422	1.000000000000000e+00	20
423	1.000000000000000e+00	20
424	1.000000000000000e+00	4
425	1.000000000000000e+00	10
426	1.000000000000000e+00	10
427	1.000000000000000e+00	2
428	1.000000000000000e+00	34
429	1.000000000000000e+00	6
430	1.000000000000000e+00	24
431	1.000000000000000e+00	10
432	1.000000000000000e+00	6
433	1.000000000000000e+00	20
434	1.000000000000000e+00	8
435	1.000000000000000e+00	16
436	1.000000000000000e+00	18
437	1.000000000000000e+00	6
438	1.000000000000000e+00	6
439	1.000000000000000e+00	26
440	1.000000000000000e+00	22
441	1.000000000000000e+00	8
442	1.000000000000000e+00	50
443	1.000000000000000e+00	2
444	1.000000000000000e+00	6
445	1.000000000000000e+00	4
446	1.000000000000000e+00	12
447	1.000000000000000e+00	2
448	1.000000000000000e+00	58
449	1.000000000000000e+00	22
450	1.000000000000000e+00	18
451	1.000000000000000e+00	14
452	1.000000000000000e+00	2
453	1.000000000000000e+00	16
454	1.000000000000000e+00	2
455	1.000000000000000e+00	2
456	1.000000000000000e+00	16
457	1.000000000000000e+00	2
458	1.000000000000000e+00	10
459	1.000000000000000e+00	4
460	1.000000000000000e+00	6
461	1.000000000000000e+00	42
462	1.000000000000000e+00	4
463	1.000000000000000e+00	16
464	1.000000000000000e+00	12
465	1.000000000000000e+00	42
466	1.000000000000000e+00	10
467	1.000000000000000e+00	14
468	1.000000000000000e+00	28
469	1.000000000000000e+00	6
470	1.000000000000000e+00	10
471	1.000000000000000e+00	8
472	1.000000000000000e+00	14
473	1.000000000000000e+00	6
474	1.000000000000000e+00	8
475	1.000000000000000e+00	10
476	1.000000000000000e+00	2
477	1.000000000000000e+00	4
478	1.000000000000000e+00	4
479	1.000000000000000e+00	26
480	1.000000000000000e+00	6
481	1.000000000000000e+00	2
482	1.000000000000000e+00	6
483	1.000000000000000e+00	26
484	1.000000000000000e+00	2
485	1.000000000000000e+00	6
486	1.000000000000000e+00	2
487	1.000000000000000e+00	22
488	1.000000000000000e+00	18
489	1.000000000000000e+00	10
490	1.000000000000000e+00	2
491	1.000000000000000e+00	8
492	1.000000000000000e+00	38
493	1.000000000000000e+00	22
494	1.000000000000000e+00	2
495	1.000000000000000e+00	10
496	1.000000000000000e+00	6
497	1.000000000000000e+00	18
498	1.000000000000000e+00	24
499	1.000000000000000e+00	6
500	1.000000000000000e+00	2
501	1.000000000000000e+00	2
502	1.000000000000000e+00	4
503	1.000000000000000e+00	36
504	1.000000000000000e+00	6
505	1.000000000000000e+00	6
506	1.000000000000000e+00	6
507	1.000000000000000e+00	6
508	1.000000000000000e+00	8
509	1.000000000000000e+00	26
510	1.000000000000000e+00	18
511	1.000000000000000e+00	16
512	1.000000000000000e+00	6
513	1.000000000000000e+00	34
514	1.000000000000000e+00	4
515	1.000000000000000e+00	20
516	1.000000000000000e+00	24
517	1.000000000000000e+00	12
518	1.000000000000000e+00	10
519	1.000000000000000e+00	2
520	1.000000000000000e+00	6
521	1.000000000000000e+00	28
522	1.000000000000000e+00	20
523	1.000000000000000e+00	20
524	1.000000000000000e+00	24
525	1.000000000000000e+00	10
526	1.000000000000000e+00	2
527	1.000000000000000e+00	24
528	1.000000000000000e+00	2
529	1.000000000000000e+00	12
530	1.000000000000000e+00	10
531	1.000000000000000e+00	10
532	1.000000000000000e+00	10
533	1.000000000000000e+00	30
534	1.000000000000000e+00	4
535	1.000000000000000e+00	2
536	1.000000000000000e+00	2
537	1.000000000000000e+00	2
538	1.000000000000000e+00	24
539	1.000000000000000e+00	18
540	1.000000000000000e+00	2
541	1.000000000000000e+00	14
542	1.000000000000000e+00	6
543	1.000000000000000e+00	4
544	1.000000000000000e+00	16
545	1.000000000000000e+00	8
546	1.000000000000000e+00	2
547	1.000000000000000e+00	20
548	1.000000000000000e+00	10
549	1.000000000000000e+00	40
550	1.000000000000000e+00	12
551	1.000000000000000e+00	4
552	1.000000000000000e+00	2
553	1.000000000000000e+00	8
554	1.000000000000000e+00	22
555	1.000000000000000e+00	10
556	1.000000000000000e+00	14
557	1.000000000000000e+00	2
558	1.000000000000000e+00	2
559	1.000000000000000e+00	18
560	1.000000000000000e+00	12
561	1.000000000000000e+00	18
562	1.000000000000000e+00	4
563	1.000000000000000e+00	6
564	1.000000000000000e+00	16
565	1.000000000000000e+00	4
566	1.000000000000000e+00	2
567	1.000000000000000e+00	6
568	1.000000000000000e+00	4
569	1.000000000000000e+00	8
570	1.000000000000000e+00	2
571	1.000000000000000e+00	4
572	1.000000000000000e+00	16
573	1.000000000000000e+00	14
574	1.000000000000000e+00	18
575	1.000000000000000e+00	8
576	1.000000000000000e+00	2
577	1.000000000000000e+00	16
578	1.000000000000000e+00	4
579	1.000000000000000e+00	22
580	1.000000000000000e+00	22
581	1.000000000000000e+00	10
582	1.000000000000000e+00	10
583	1.000000000000000e+00	10
584	1.000000000000000e+00	10
585	1.000000000000000e+00	18
586	1.000000000000000e+00	2
587	1.000000000000000e+00	2
588	1.000000000000000e+00	2
589	1.000000000000000e+00	2
590	1.000000000000000e+00	10
591	1.000000000000000e+00	22
592	1.000000000000000e+00	6
593	1.000000000000000e+00	14
594	1.000000000000000e+00	24
595	1.000000000000000e+00	6
596	1.000000000000000e+00	6
597	1.000000000000000e+00	24
598	1.000000000000000e+00	8
599	1.000000000000000e+00	2
600	1.000000000000000e+00	28
601	1.000000000000000e+00	4
602	1.000000000000000e+00	2
603	1.000000000000000e+00	8
604	1.000000000000000e+00	40
605	1.000000000000000e+00	4
606	1.000000000000000e+00	2
607	1.000000000000000e+00	6
608	1.000000000000000e+00	6
609	1.000000000000000e+00	18
610	1.000000000000000e+00	30
611	1.000000000000000e+00	6
612	1.000000000000000e+00	4
613	1.000000000000000e+00	2
614	1.000000000000000e+00	4
615	1.000000000000000e+00	24
616	1.000000000000000e+00	18
617	1.000000000000000e+00	18
618	1.000000000000000e+00	18
619	1.000000000000000e+00	4
620	1.000000000000000e+00	16
621	1.000000000000000e+00	2
622	1.000000000000000e+00	10
623	1.000000000000000e+00	10
624	1.000000000000000e+00	2
625	1.000000000000000e+00	26
626	1.000000000000000e+00	14
627	1.000000000000000e+00	30
628	1.000000000000000e+00	4
629	1.000000000000000e+00	24
630	1.000000000000000e+00	2
631	1.000000000000000e+00	12
632	1.000000000000000e+00	18
633	1.000000000000000e+00	16
634	1.000000000000000e+00	10
635	1.000000000000000e+00	6
636	1.000000000000000e+00	16
637	1.000000000000000e+00	8
638	1.000000000000000e+00	4
639	1.000000000000000e+00	10
640	1.000000000000000e+00	14
641	1.000000000000000e+00	36
642	1.000000000000000e+00	6
643	1.000000000000000e+00	8
644	1.000000000000000e+00	2
645	1.000000000000000e+00	2
646	1.000000000000000e+00	24
647	1.000000000000000e+00	14
648	1.000000000000000e+00	18
649	1.000000000000000e+00	2
650	1.000000000000000e+00	12
651	9.704045470936060e-01	236
652	9.373976471636963e-01	156
653	9.055964126064743e-01	234
654	8.750052584983986e-01	288
655	8.456003223806117e-01	234
656	8.174036028218506e-01	330
657	7.904147383717107e-01	268
658	7.646006647081853e-01	298
659	7.400018984170119e-01	254
660	7.165921495292888e-01	264
661	6.943962527971937e-01	322
662	6.734030559785730e-01	300
663	6.535912785744947e-01	344
664	6.350038063474841e-01	232
665	6.176116464646976e-01	270
666	6.014162893828051e-01	188
667	5.864083095546971e-01	284
668	5.726012956906785e-01	254
669	5.599956527279940e-01	300
670	5.486040107720455e-01	240
671	5.383950756769025e-01	322
672	5.293869290496495e-01	240
673	5.215812337037529e-01	166
674	5.149901245777805e-01	324
675	5.095804155831332e-01	310
676	5.053882097540732e-01	322
677	5.023809770999110e-01	224
678	5.005771317861081e-01	308
679	4.999867207522437e-01	302
680	5.005783072341945e-01	198
