Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	12
2	1.000000000000000e+00	4
3	1.000000000000000e+00	14
4	1.000000000000000e+00	6
5	1.000000000000000e+00	32
6	1.000000000000000e+00	16
7	1.000000000000000e+00	6
8	1.000000000000000e+00	4
9	1.000000000000000e+00	6
10	1.000000000000000e+00	16
11	1.000000000000000e+00	2
12	1.000000000000000e+00	4
13	1.000000000000000e+00	26
14	1.000000000000000e+00	10
15	1.000000000000000e+00	2
16	1.000000000000000e+00	20
17	1.000000000000000e+00	12
18	1.000000000000000e+00	14
19	1.000000000000000e+00	14
20	1.000000000000000e+00	18
21	1.000000000000000e+00	10
22	1.000000000000000e+00	12
23	1.000000000000000e+00	6
24	1.000000000000000e+00	20
25	1.000000000000000e+00	10
26	1.000000000000000e+00	26
27	1.000000000000000e+00	60
28	1.000000000000000e+00	6
29	1.000000000000000e+00	20
30	1.000000000000000e+00	10
31	1.000000000000000e+00	14
32	1.000000000000000e+00	14
33	1.000000000000000e+00	2
34	1.000000000000000e+00	12
35	1.000000000000000e+00	16
36	1.000000000000000e+00	2
37	1.000000000000000e+00	6
38	1.000000000000000e+00	36
39	1.000000000000000e+00	26
40	1.000000000000000e+00	20
41	1.000000000000000e+00	4
42	1.000000000000000e+00	4
43	1.000000000000000e+00	6
44	1.000000000000000e+00	42
45	1.000000000000000e+00	14
46	1.000000000000000e+00	16
47	1.000000000000000e+00	14
48	1.000000000000000e+00	4
49	1.000000000000000e+00	20
50	1.000000000000000e+00	12
51	1.000000000000000e+00	16
52	1.000000000000000e+00	4
53	1.000000000000000e+00	14
54	1.000000000000000e+00	16
55	1.000000000000000e+00	62
56	1.000000000000000e+00	30
57	1.000000000000000e+00	2
58	1.000000000000000e+00	22
59	1.000000000000000e+00	2
60	1.000000000000000e+00	2
61	1.000000000000000e+00	26
62	1.000000000000000e+00	6
63	1.000000000000000e+00	2
64	1.000000000000000e+00	4
65	1.000000000000000e+00	6
66	1.000000000000000e+00	14
67	1.000000000000000e+00	22
68	1.000000000000000e+00	2
69	1.000000000000000e+00	4
70	1.000000000000000e+00	18
71	1.000000000000000e+00	16
72	1.000000000000000e+00	12
73	1.000000000000000e+00	34
74	1.000000000000000e+00	2
75	1.000000000000000e+00	4
76	1.000000000000000e+00	28
77	1.000000000000000e+00	6
78	1.000000000000000e+00	6
79	1.000000000000000e+00	4
80	1.000000000000000e+00	18
81	1.000000000000000e+00	16
82	1.000000000000000e+00	28
83	1.000000000000000e+00	12
84	1.000000000000000e+00	4
85	1.000000000000000e+00	6
86	1.000000000000000e+00	4
87	1.000000000000000e+00	6
88	1.000000000000000e+00	20
89	1.000000000000000e+00	6
90	1.000000000000000e+00	6
91	1.000000000000000e+00	10
92	1.000000000000000e+00	6
93	1.000000000000000e+00	30
94	1.000000000000000e+00	4
95	1.000000000000000e+00	26
96	1.000000000000000e+00	18
97	1.000000000000000e+00	4
98	1.000000000000000e+00	6
99	1.000000000000000e+00	12
100	1.000000000000000e+00	16
101	1.000000000000000e+00	44
102	1.000000000000000e+00	8
103	1.000000000000000e+00	2
104	1.000000000000000e+00	6
105	1.000000000000000e+00	8
106	1.000000000000000e+00	4
107	1.000000000000000e+00	4
108	1.000000000000000e+00	16
109	1.000000000000000e+00	2
110	1.000000000000000e+00	26
111	1.000000000000000e+00	24
112	1.000000000000000e+00	8
113	1.000000000000000e+00	12
114	1.000000000000000e+00	6
115	1.000000000000000e+00	8
116	1.000000000000000e+00	10
117	1.000000000000000e+00	8
118	1.000000000000000e+00	4
119	1.000000000000000e+00	28
120	1.000000000000000e+00	6
121	1.000000000000000e+00	14
122	1.000000000000000e+00	6
123	1.000000000000000e+00	6
124	1.000000000000000e+00	12
125	1.000000000000000e+00	10
126	1.000000000000000e+00	8
127	1.000000000000000e+00	14
128	1.000000000000000e+00	20
129	1.000000000000000e+00	14
130	1.000000000000000e+00	32
131	1.000000000000000e+00	2
132	1.000000000000000e+00	16
133	1.000000000000000e+00	16
134	1.000000000000000e+00	16
135	1.000000000000000e+00	2
136	1.000000000000000e+00	4
137	1.000000000000000e+00	6
138	1.000000000000000e+00	12
139	1.000000000000000e+00	10
140	1.000000000000000e+00	26
141	1.000000000000000e+00	20
142	1.000000000000000e+00	10
143	1.000000000000000e+00	10
144	1.000000000000000e+00	12
145	1.000000000000000e+00	12
146	1.000000000000000e+00	10
147	1.000000000000000e+00	8
148	1.000000000000000e+00	2
149	1.000000000000000e+00	4
150	1.000000000000000e+00	12
151	1.000000000000000e+00	20
152	1.000000000000000e+00	14
153	1.000000000000000e+00	2
154	1.000000000000000e+00	4
155	1.000000000000000e+00	16
156	1.000000000000000e+00	12
157	1.000000000000000e+00	6
158	1.000000000000000e+00	10
159	1.000000000000000e+00	22
160	1.000000000000000e+00	10
161	1.000000000000000e+00	2
162	1.000000000000000e+00	4
163	1.000000000000000e+00	20
164	1.000000000000000e+00	16
165	1.000000000000000e+00	12
166	1.000000000000000e+00	16
167	1.000000000000000e+00	12
168	1.000000000000000e+00	4
169	1.000000000000000e+00	38
170	1.000000000000000e+00	30
171	1.000000000000000e+00	24
172	1.000000000000000e+00	16
173	1.000000000000000e+00	6
174	1.000000000000000e+00	2
175	1.000000000000000e+00	4
176	1.000000000000000e+00	10
177	1.000000000000000e+00	16
178	1.000000000000000e+00	2
179	1.000000000000000e+00	8
180	1.000000000000000e+00	12
181	1.000000000000000e+00	2
182	1.000000000000000e+00	6
183	1.000000000000000e+00	4
184	1.000000000000000e+00	14
185	1.000000000000000e+00	4
186	1.000000000000000e+00	6
187	1.000000000000000e+00	42
188	1.000000000000000e+00	42
189	1.000000000000000e+00	10
190	1.000000000000000e+00	10
191	1.000000000000000e+00	12
192	1.000000000000000e+00	12
193	1.000000000000000e+00	38
194	1.000000000000000e+00	14
195	1.000000000000000e+00	2
196	1.000000000000000e+00	2
197	1.000000000000000e+00	6
198	1.000000000000000e+00	24
199	1.000000000000000e+00	44
200	1.000000000000000e+00	8
201	1.000000000000000e+00	8
202	1.000000000000000e+00	8
203	1.000000000000000e+00	14
204	1.000000000000000e+00	6
205	1.000000000000000e+00	8
206	1.000000000000000e+00	24
207	1.000000000000000e+00	8
208	1.000000000000000e+00	4
209	1.000000000000000e+00	8
210	1.000000000000000e+00	8
211	1.000000000000000e+00	2
212	1.000000000000000e+00	6
213	1.000000000000000e+00	14
214	1.000000000000000e+00	22
215	1.000000000000000e+00	22
216	1.000000000000000e+00	6
217	1.000000000000000e+00	2
218	1.000000000000000e+00	2
219	1.000000000000000e+00	30
220	1.000000000000000e+00	12
221	1.000000000000000e+00	30
222	1.000000000000000e+00	14
223	1.000000000000000e+00	20
224	1.000000000000000e+00	6
225	1.000000000000000e+00	6
226	1.000000000000000e+00	20
227	1.000000000000000e+00	14
228	1.000000000000000e+00	22
229	1.000000000000000e+00	6
230	1.000000000000000e+00	22
231	1.000000000000000e+00	10
232	1.000000000000000e+00	8
233	1.000000000000000e+00	10
234	1.000000000000000e+00	6
235	1.000000000000000e+00	4
236	1.000000000000000e+00	20
237	1.000000000000000e+00	8
238	1.000000000000000e+00	8
239	1.000000000000000e+00	4
240	1.000000000000000e+00	14
241	1.000000000000000e+00	14
242	1.000000000000000e+00	4
243	1.000000000000000e+00	18
244	1.000000000000000e+00	10
245	1.000000000000000e+00	4
246	1.000000000000000e+00	24
247	1.000000000000000e+00	10
248	1.000000000000000e+00	22
249	1.000000000000000e+00	18
250	1.000000000000000e+00	12
251	1.000000000000000e+00	16
252	1.000000000000000e+00	16
253	1.000000000000000e+00	4
254	1.000000000000000e+00	6
255	1.000000000000000e+00	8
256	1.000000000000000e+00	4
257	1.000000000000000e+00	14
258	1.000000000000000e+00	6
259	1.000000000000000e+00	12
260	1.000000000000000e+00	2
261	1.000000000000000e+00	6
262	1.000000000000000e+00	10
263	1.000000000000000e+00	16
264	1.000000000000000e+00	2
265	1.000000000000000e+00	6
266	1.000000000000000e+00	16
267	1.000000000000000e+00	2
268	1.000000000000000e+00	12
269	1.000000000000000e+00	10
270	1.000000000000000e+00	14
271	1.000000000000000e+00	10
272	1.000000000000000e+00	18
273	1.000000000000000e+00	6
274	1.000000000000000e+00	4
275	1.000000000000000e+00	12
276	1.000000000000000e+00	18
277	1.000000000000000e+00	4
278	1.000000000000000e+00	4
279	1.000000000000000e+00	30
280	1.000000000000000e+00	2
281	1.000000000000000e+00	28
282	1.000000000000000e+00	2
283	1.000000000000000e+00	14
284	1.000000000000000e+00	10
285	1.000000000000000e+00	20
286	1.000000000000000e+00	14
287	1.000000000000000e+00	12
288	1.000000000000000e+00	10
289	1.000000000000000e+00	16
290	1.000000000000000e+00	10
291	1.000000000000000e+00	12
292	1.000000000000000e+00	6
293	1.000000000000000e+00	10
294	1.000000000000000e+00	4
295	1.000000000000000e+00	10
296	1.000000000000000e+00	2
297	1.000000000000000e+00	10
298	1.000000000000000e+00	6
299	1.000000000000000e+00	8
300	1.000000000000000e+00	4
301	1.000000000000000e+00	28
302	1.000000000000000e+00	6
303	1.000000000000000e+00	4
304	1.000000000000000e+00	2
305	1.000000000000000e+00	12
306	1.000000000000000e+00	6
307	1.000000000000000e+00	14
308	1.000000000000000e+00	18
309	1.000000000000000e+00	8
310	1.000000000000000e+00	8
311	1.000000000000000e+00	6
312	1.000000000000000e+00	6
313	1.000000000000000e+00	6
314	1.000000000000000e+00	4
315	1.000000000000000e+00	20
316	1.000000000000000e+00	18
317	1.000000000000000e+00	4
318	1.000000000000000e+00	4
319	1.000000000000000e+00	14
320	1.000000000000000e+00	64
321	1.000000000000000e+00	14
322	1.000000000000000e+00	24
323	1.000000000000000e+00	16
324	1.000000000000000e+00	12
325	1.000000000000000e+00	6
326	1.000000000000000e+00	12
327	1.000000000000000e+00	8
328	1.000000000000000e+00	12
329	1.000000000000000e+00	2
330	1.000000000000000e+00	34
331	1.000000000000000e+00	12
332	1.000000000000000e+00	36
333	1.000000000000000e+00	4
334	1.000000000000000e+00	6
335	1.000000000000000e+00	8
336	1.000000000000000e+00	10
337	1.000000000000000e+00	4
338	1.000000000000000e+00	8
339	1.000000000000000e+00	4
340	1.000000000000000e+00	6
341	1.000000000000000e+00	6
342	1.000000000000000e+00	8
343	1.000000000000000e+00	4
344	1.000000000000000e+00	16
345	1.000000000000000e+00	18
346	1.000000000000000e+00	26
347	1.000000000000000e+00	4
348	1.000000000000000e+00	4
349	1.000000000000000e+00	16
350	1.000000000000000e+00	12
351	1.000000000000000e+00	28
352	1.000000000000000e+00	14
353	1.000000000000000e+00	18
354	1.000000000000000e+00	8
355	1.000000000000000e+00	4
356	1.000000000000000e+00	12
357	1.000000000000000e+00	10
358	1.000000000000000e+00	10
359	1.000000000000000e+00	28
360	1.000000000000000e+00	10
361	1.000000000000000e+00	20
362	1.000000000000000e+00	4
363	1.000000000000000e+00	16
364	1.000000000000000e+00	2
365	1.000000000000000e+00	2
366	1.000000000000000e+00	34
367	1.000000000000000e+00	40
368	1.000000000000000e+00	8
369	1.000000000000000e+00	4
370	1.000000000000000e+00	18
371	1.000000000000000e+00	6
372	1.000000000000000e+00	6
373	1.000000000000000e+00	16
374	1.000000000000000e+00	66
375	1.000000000000000e+00	22
376	1.000000000000000e+00	8
377	1.000000000000000e+00	10
378	1.000000000000000e+00	4
379	1.000000000000000e+00	4
380	1.000000000000000e+00	2
381	1.000000000000000e+00	36
382	1.000000000000000e+00	10
383	1.000000000000000e+00	4
384	1.000000000000000e+00	4
385	1.000000000000000e+00	4
386	1.000000000000000e+00	4
387	1.000000000000000e+00	2
388	1.000000000000000e+00	12
389	1.000000000000000e+00	16
390	1.000000000000000e+00	24
391	1.000000000000000e+00	24
392	1.000000000000000e+00	10
393	1.000000000000000e+00	20
394	1.000000000000000e+00	20
395	1.000000000000000e+00	16
396	1.000000000000000e+00	16
397	1.000000000000000e+00	24
398	1.000000000000000e+00	6
399	1.000000000000000e+00	10
400	1.000000000000000e+00	14
401	1.000000000000000e+00	4
402	1.000000000000000e+00	8
403	1.000000000000000e+00	14
404	1.000000000000000e+00	4
405	1.000000000000000e+00	2
406	1.000000000000000e+00	36
407	1.000000000000000e+00	16
408	1.000000000000000e+00	8
409	1.000000000000000e+00	2
410	1.000000000000000e+00	2
411	1.000000000000000e+00	14
412	1.000000000000000e+00	12
413	1.000000000000000e+00	8
414	1.000000000000000e+00	10
415	1.000000000000000e+00	16
416	1.000000000000000e+00	4
417	1.000000000000000e+00	8
418	1.000000000000000e+00	4
419	1.000000000000000e+00	10
420	1.000000000000000e+00	16
421	1.000000000000000e+00	2
422	1.000000000000000e+00	4
423	1.000000000000000e+00	12
424	1.000000000000000e+00	10
425	1.000000000000000e+00	14
426	1.000000000000000e+00	6
427	1.000000000000000e+00	24
428	1.000000000000000e+00	12
429	1.000000000000000e+00	4
430	1.000000000000000e+00	2
431	1.000000000000000e+00	4
432	1.000000000000000e+00	28
433	1.000000000000000e+00	4
434	1.000000000000000e+00	20
435	1.000000000000000e+00	2
436	1.000000000000000e+00	2
437	1.000000000000000e+00	24
438	1.000000000000000e+00	20
439	1.000000000000000e+00	14
440	1.000000000000000e+00	14
441	1.000000000000000e+00	6
442	1.000000000000000e+00	26
443	1.000000000000000e+00	10
444	1.000000000000000e+00	26
445	1.000000000000000e+00	6
446	1.000000000000000e+00	28
447	1.000000000000000e+00	2
448	1.000000000000000e+00	26
449	1.000000000000000e+00	10
450	1.000000000000000e+00	34
451	1.000000000000000e+00	10
452	1.000000000000000e+00	20
453	1.000000000000000e+00	14
454	1.000000000000000e+00	12
455	1.000000000000000e+00	14
456	1.000000000000000e+00	12
457	1.000000000000000e+00	12
458	1.000000000000000e+00	20
459	1.000000000000000e+00	6
460	1.000000000000000e+00	4
461	1.000000000000000e+00	26
462	1.000000000000000e+00	26
463	1.000000000000000e+00	6
464	1.000000000000000e+00	2
465	1.000000000000000e+00	2
466	1.000000000000000e+00	12
467	1.000000000000000e+00	6
468	1.000000000000000e+00	2
469	1.000000000000000e+00	6
470	1.000000000000000e+00	30
471	1.000000000000000e+00	32
472	1.000000000000000e+00	16
473	1.000000000000000e+00	10
474	1.000000000000000e+00	26
475	1.000000000000000e+00	12
476	1.000000000000000e+00	10
477	1.000000000000000e+00	4
478	1.000000000000000e+00	8
479	1.000000000000000e+00	32
480	1.000000000000000e+00	22
481	1.000000000000000e+00	8
482	1.000000000000000e+00	6
483	1.000000000000000e+00	8
484	1.000000000000000e+00	8
485	1.000000000000000e+00	10
486	1.000000000000000e+00	30
487	1.000000000000000e+00	10
488	1.000000000000000e+00	22
489	1.000000000000000e+00	14
490	1.000000000000000e+00	14
491	9.589999998822162e-01	768
492	8.999999997167382e-01	754
493	8.489999997595257e-01	734
494	7.999999998375672e-01	650
495	7.499999998953537e-01	734
496	6.999999997660320e-01	740
497	6.499999997088741e-01	738
498	5.999999997860974e-01	746
499	5.499999999037307e-01	714
500	4.999999998684758e-01	760
501	5.499999998040815e-01	808
502	5.999999997684726e-01	756
503	6.499999998653446e-01	750
504	6.999999998617588e-01	684
505	7.499999997051969e-01	778
506	7.999999997851507e-01	684
507	8.499999996642571e-01	684
508	8.999999997856305e-01	724
509	9.499999998196550e-01	778
510	8.999999997907634e-01	686
511	8.499999997154039e-01	710
512	7.999999998438234e-01	708
513	7.499999998080074e-01	716
514	7.999999997875420e-01	684
515	8.499999997790109e-01	710
516	8.999999997655184e-01	744
517	9.499999997264781e-01	724
518	9.999999996593965e-01	754
519	9.999999997280155e-01	680
520	9.999999998393010e-01	768
521	1.000000000000000e+00	16
522	1.000000000000000e+00	6
523	1.000000000000000e+00	10
524	1.000000000000000e+00	58
525	1.000000000000000e+00	2
526	1.000000000000000e+00	4
527	1.000000000000000e+00	34
528	1.000000000000000e+00	6
529	1.000000000000000e+00	16
530	1.000000000000000e+00	6
531	1.000000000000000e+00	14
532	1.000000000000000e+00	44
533	1.000000000000000e+00	14
534	1.000000000000000e+00	6
535	1.000000000000000e+00	2
536	1.000000000000000e+00	6
537	1.000000000000000e+00	12
538	1.000000000000000e+00	2
539	1.000000000000000e+00	24
540	1.000000000000000e+00	2
541	1.000000000000000e+00	2
542	1.000000000000000e+00	22
543	1.000000000000000e+00	10
544	1.000000000000000e+00	4
545	1.000000000000000e+00	22
546	1.000000000000000e+00	12
547	1.000000000000000e+00	30
548	1.000000000000000e+00	24
549	1.000000000000000e+00	16
550	1.000000000000000e+00	6
551	1.000000000000000e+00	16
552	1.000000000000000e+00	14
553	1.000000000000000e+00	4
554	1.000000000000000e+00	4
555	1.000000000000000e+00	8
556	1.000000000000000e+00	8
557	1.000000000000000e+00	12
558	1.000000000000000e+00	4
559	1.000000000000000e+00	8
560	1.000000000000000e+00	20
561	1.000000000000000e+00	40
562	1.000000000000000e+00	2
563	1.000000000000000e+00	20
564	1.000000000000000e+00	6
565	1.000000000000000e+00	6
566	1.000000000000000e+00	2
567	1.000000000000000e+00	38
568	1.000000000000000e+00	16
569	1.000000000000000e+00	12
570	1.000000000000000e+00	6
571	1.000000000000000e+00	10
572	1.000000000000000e+00	18
573	1.000000000000000e+00	10
574	1.000000000000000e+00	10
575	1.000000000000000e+00	16
576	1.000000000000000e+00	18
577	1.000000000000000e+00	2
578	1.000000000000000e+00	10
579	1.000000000000000e+00	14
580	1.000000000000000e+00	4
581	1.000000000000000e+00	2
582	1.000000000000000e+00	16
583	1.000000000000000e+00	4
584	1.000000000000000e+00	4
585	1.000000000000000e+00	12
586	1.000000000000000e+00	8
587	1.000000000000000e+00	12
588	1.000000000000000e+00	2
589	1.000000000000000e+00	18
590	1.000000000000000e+00	2
591	1.000000000000000e+00	6
592	1.000000000000000e+00	12
593	1.000000000000000e+00	20
594	1.000000000000000e+00	6
595	1.000000000000000e+00	4
596	1.000000000000000e+00	6
597	1.000000000000000e+00	52
598	1.000000000000000e+00	2
599	1.000000000000000e+00	22
600	1.000000000000000e+00	8
601	1.000000000000000e+00	10
602	1.000000000000000e+00	6
603	1.000000000000000e+00	2
604	1.000000000000000e+00	10
605	1.000000000000000e+00	18
606	1.000000000000000e+00	2
607	1.000000000000000e+00	4
608	1.000000000000000e+00	2
609	1.000000000000000e+00	18
610	1.000000000000000e+00	8
611	1.000000000000000e+00	26
612	1.000000000000000e+00	12
613	1.000000000000000e+00	8
614	1.000000000000000e+00	34
615	1.000000000000000e+00	6
616	1.000000000000000e+00	6
617	1.000000000000000e+00	14
618	1.000000000000000e+00	4
619	1.000000000000000e+00	6
620	1.000000000000000e+00	26
621	1.000000000000000e+00	14
622	1.000000000000000e+00	24
623	1.000000000000000e+00	10
624	1.000000000000000e+00	18
625	1.000000000000000e+00	6
626	1.000000000000000e+00	18
627	1.000000000000000e+00	4
628	1.000000000000000e+00	10
629	1.000000000000000e+00	10
630	1.000000000000000e+00	16
631	1.000000000000000e+00	4
632	1.000000000000000e+00	26
633	1.000000000000000e+00	18
634	1.000000000000000e+00	18
635	1.000000000000000e+00	4
636	1.000000000000000e+00	34
637	1.000000000000000e+00	4
638	1.000000000000000e+00	4
639	1.000000000000000e+00	20
640	1.000000000000000e+00	6
641	1.000000000000000e+00	10
642	1.000000000000000e+00	22
643	1.000000000000000e+00	8
644	1.000000000000000e+00	20
645	1.000000000000000e+00	6
646	1.000000000000000e+00	10
647	1.000000000000000e+00	2
648	1.000000000000000e+00	12
649	1.000000000000000e+00	6
650	1.000000000000000e+00	8
651	1.000000000000000e+00	12
652	1.000000000000000e+00	12
653	1.000000000000000e+00	10
654	1.000000000000000e+00	10
655	1.000000000000000e+00	20
656	1.000000000000000e+00	22
657	1.000000000000000e+00	20
658	1.000000000000000e+00	32
659	1.000000000000000e+00	20
660	1.000000000000000e+00	2
661	1.000000000000000e+00	4
662	1.000000000000000e+00	10
663	1.000000000000000e+00	4
664	1.000000000000000e+00	14
665	1.000000000000000e+00	24
666	1.000000000000000e+00	2
667	1.000000000000000e+00	16
668	1.000000000000000e+00	8
669	1.000000000000000e+00	18
670	1.000000000000000e+00	4
671	1.000000000000000e+00	10
672	1.000000000000000e+00	8
673	1.000000000000000e+00	2
674	1.000000000000000e+00	28
675	1.000000000000000e+00	4
676	1.000000000000000e+00	4
677	1.000000000000000e+00	2
678	1.000000000000000e+00	8
679	1.000000000000000e+00	16
680	1.000000000000000e+00	26
